state,state_fips,year,employment_rate,dis_type_hearing_18_64_prevalence,dis_type_vision_18_64_prevalence,dis_type_cognitive_18_64_prevalence,dis_type_ambulatory_18_64_prevalence,dis_type_self_care_18_64_prevalence,dis_type_indep_living_18_64_prevalence
District of Columbia,11,2021,0.03956848100788352,0.015303303623135346,0.022179472671721174,0.04271922642543495,0.04488702802610237,0.014520054938349675,0.025075052087146957
Florida,12,2021,0.04012577333282727,0.018411647119849193,0.020334857858579726,0.04533098328715477,0.04618378436507635,0.016878344783087258,0.035672072089168914
Georgia,13,2021,0.04282241494190455,0.018829315319088786,0.02282882961888172,0.04919891661870479,0.048683780035452436,0.017139789977588492,0.038994919465447676
Hawaii,15,2021,0.03527289840814477,0.017266585058740184,0.01544292326601931,0.040349612362349206,0.03336412405406149,0.013870844191443184,0.03289600496656828
Idaho,16,2021,0.057848445073065025,0.026092702951325132,0.024933734260750684,0.0558941057124885,0.04273185736776849,0.016559162851917435,0.035783499194630385
Illinois,17,2021,0.04023734315537867,0.01701330390239179,0.018090829701398862,0.041142511868660504,0.041413918742846494,0.015835944279659106,0.035005998523138904
Indiana,18,2021,0.04860268907621226,0.023606652912176482,0.02245497614154147,0.05273497260933694,0.0514573930302283,0.018721426060793,0.04204683831828478
Iowa,19,2021,0.04850343738004237,0.02226841920135857,0.018749929731932007,0.050636909768305434,0.041400607223182624,0.014376980555687912,0.035598204778014474
Kansas,20,2021,0.05381096488141319,0.02583163253337087,0.02007706383278204,0.0567879512984728,0.04373284537968893,0.01570366199826401,0.04077697234147371
Kentucky,21,2021,0.053966451066939196,0.03210739199601485,0.03400093852088059,0.07215245000088151,0.07451375653297933,0.02644663315949566,0.0585765316514479
Louisiana,22,2021,0.04989083752957762,0.026637799629691747,0.03551545473578443,0.0636708562792685,0.06223655326983527,0.024075242710323227,0.04849297779080149
Maine,23,2021,0.048571742742644905,0.02531155312286189,0.01586110839605122,0.07213982015443261,0.051854657413742546,0.01812750464275242,0.05041051705600626
Maryland,24,2021,0.042683719064754294,0.015819305696892227,0.016554211545822806,0.04093226519125979,0.039217395210684215,0.012950429094094041,0.029004302104407742
Massachusetts,25,2021,0.03670778024618769,0.014412536982333064,0.014688004213619923,0.04321452199234361,0.03263749472497397,0.013463603806339907,0.03207650170789683
Michigan,26,2021,0.04369546048679246,0.02095341566315043,0.0184215335187974,0.056004029196041374,0.04983103880994389,0.019450448387731304,0.04459235234248565
Minnesota,27,2021,0.04753678865904902,0.019221632895065018,0.012945528253461545,0.04999723035449411,0.03088198701695697,0.013882225294395732,0.034808142699170486
Mississippi,28,2021,0.053749893988179316,0.02975057246383169,0.04039152724284457,0.07085391424886604,0.08215111875371041,0.026605018965149163,0.05832960464170929
Missouri,29,2021,0.05230623705076513,0.023943317657979978,0.024458121148953297,0.06029037119258771,0.05458348543436476,0.01942515996073178,0.045554327735464785
Montana,30,2021,0.050596509832665344,0.028635590973597618,0.019850911529404425,0.05714174321226393,0.041869531993200565,0.015771252124822607,0.03831074653400496
Nebraska,31,2021,0.057172213895855105,0.02431192138196477,0.021671815777740598,0.048249813204207,0.04008948679115048,0.013727848384008354,0.03310468185150764
Nevada,32,2021,0.0449933402272456,0.021408977648302734,0.023141257952381304,0.04421645476160549,0.04710640531767803,0.01642127789473017,0.033766790707794946
New Hampshire,33,2021,0.04689086212878603,0.019593251940108105,0.01773112198586697,0.048778692747389336,0.03344591003131976,0.014664565442653056,0.035156172423420784
New Jersey,34,2021,0.03134078957905133,0.012782211782291861,0.01681338921068788,0.03298454475082081,0.031682104120510014,0.014270435718798102,0.02960236322059988
New Mexico,35,2021,0.050553123586614714,0.03039081052285098,0.027217439912399867,0.06410602636704882,0.05952245122769057,0.025648813105216196,0.052743947735423305
New York,36,2021,0.0344550757619963,0.014812609031850402,0.017090945015470482,0.04210600943406893,0.040356630353872915,0.016323301364550347,0.03587745729946083
North Carolina,37,2021,0.043193769137096834,0.021463303793869033,0.022306795975614628,0.05055431645707188,0.05119779549555126,0.017550715743134753,0.03971064447035263
North Dakota,38,2021,0.05813550016470847,0.029359833095421103,0.02231470297573295,0.04991325354123202,0.0371011309981333,0.013110793894806193,0.03029098495662677
Ohio,39,2021,0.047958831148484586,0.021197614274867993,0.02111067177571016,0.05729811980389445,0.0515254821865436,0.017229392188718592,0.04075967658538069
Oklahoma,40,2021,0.06515291932981922,0.03387560229546104,0.037285501309492645,0.06646262760168135,0.06582653286971012,0.020727631998281898,0.05124853536492647
Oregon,41,2021,0.054845910850283695,0.024932083043614016,0.021167354076847188,0.0671760795272715,0.04645021486596864,0.0188742564952281,0.048562667748458486
Pennsylvania,42,2021,0.04441418706694254,0.01925319471776745,0.020257455465516945,0.05547752708799791,0.04683554105115219,0.017884738673662467,0.04222486491506195
Rhode Island,44,2021,0.04789740601094344,0.01736292005521756,0.020616811921812406,0.05503359853067135,0.04357948708892205,0.018303325710013627,0.042920172952226214
South Carolina,45,2021,0.04357354566669381,0.020526005045708395,0.0239827735177119,0.05159011020056575,0.05590002732844806,0.020582376150868855,0.041312767659732144
South Dakota,46,2021,0.05329524554572411,0.02488151892832661,0.016422395144992386,0.04431458774118479,0.038022595856570245,0.01505929486229724,0.032971222779973886
Tennessee,47,2021,0.04538346593742799,0.025805936977642312,0.027438435752369938,0.0575259990102003,0.060082662168332066,0.01933918174322603,0.04586087900537108
Texas,48,2021,0.046711907770198874,0.02022163794227544,0.023308123614552093,0.04344359962410241,0.042143020939654045,0.015456090575132307,0.0326873530244918
Utah,49,2021,0.05261053249436987,0.019832261096616278,0.016832385145949588,0.05115118789843284,0.03137137042240311,0.011296053314991512,0.03312873597763481
Vermont,50,2021,0.048122514043584766,0.02244172485268878,0.015800624385672743,0.059410856976975145,0.036770510254490636,0.01482788651051932,0.03784765193299822
Virginia,51,2021,0.04488901655317687,0.019979720022894117,0.01972626886293264,0.043697116347289074,0.043498822374629556,0.015770294397602917,0.033656760319297964
