state,state_fips,year,employment_rate,edu_bachelors_share,edu_some_college_share,edu_hs_grad_share,edu_less_than_hs_share
Pennsylvania,42,2015,0.23083550357483448,0.142,0.21000000000000002,0.44,0.20800000000000005
Rhode Island,44,2015,0.23270530706169998,0.16499999999999998,0.253,0.354,0.22899999999999998
South Carolina,45,2015,0.1931580172213172,0.138,0.264,0.33999999999999997,0.259
South Dakota,46,2015,0.34173527012279753,0.162,0.301,0.391,0.146
Tennessee,47,2015,0.21080562867976357,0.118,0.23399999999999999,0.38299999999999995,0.265
Texas,48,2015,0.2584674744654324,0.157,0.27899999999999997,0.305,0.259
Utah,49,2015,0.3088360664892132,0.20600000000000002,0.342,0.324,0.129
Vermont,50,2015,0.2709932187055602,0.205,0.258,0.34800000000000003,0.189
Virginia,51,2015,0.24497215390918262,0.19199999999999998,0.263,0.315,0.23
Washington,53,2015,0.2414768489165703,0.19299999999999998,0.345,0.309,0.153
West Virginia,54,2015,0.16845376705116402,0.096,0.196,0.44,0.268
Wisconsin,55,2015,0.2648450486072634,0.149,0.287,0.388,0.17500000000000002
Wyoming,56,2015,0.3794106676613204,0.155,0.40399999999999997,0.305,0.136
Puerto Rico,72,2015,0.1247462303842454,0.13699999999999998,0.167,0.275,0.42100000000000004
Alabama,1,2016,0.18769920970315646,0.13,0.255,0.353,0.261
Alaska,2,2016,0.36317268529408125,0.172,0.35300000000000004,0.315,0.161
Arizona,4,2016,0.21105755714496738,0.182,0.342,0.28800000000000003,0.187
Arkansas,5,2016,0.21422762744849813,0.11,0.265,0.392,0.23199999999999998
California,6,2016,0.21307931576683076,0.19100000000000003,0.295,0.251,0.263
Colorado,8,2016,0.28610026466752864,0.24500000000000002,0.319,0.302,0.134
Connecticut,9,2016,0.24275151015778407,0.21,0.23300000000000004,0.349,0.20800000000000002
Delaware,10,2016,0.22972211183912614,0.197,0.24400000000000002,0.368,0.19
District of Columbia,11,2016,0.24661700287380375,0.242,0.24,0.332,0.187
Florida,12,2016,0.18858461275877916,0.182,0.273,0.342,0.203
Georgia,13,2016,0.22871553614324094,0.154,0.265,0.341,0.239
Hawaii,15,2016,0.23045223297582454,0.193,0.264,0.361,0.182
Idaho,16,2016,0.27620537348630003,0.16899999999999996,0.33,0.34600000000000003,0.155
Illinois,17,2016,0.22396040587037963,0.17400000000000002,0.287,0.334,0.205
Indiana,18,2016,0.24286811216248483,0.129,0.256,0.4079999999999999,0.20700000000000002
Iowa,19,2016,0.2950913614850621,0.156,0.291,0.392,0.161
Kansas,20,2016,0.3021401372696502,0.171,0.314,0.359,0.156
Kentucky,21,2016,0.21419507597841847,0.109,0.251,0.371,0.269
Louisiana,22,2016,0.22614564221413933,0.125,0.23500000000000001,0.36300000000000004,0.278
Maine,23,2016,0.22564359626194994,0.159,0.26899999999999996,0.41200000000000003,0.159
Maryland,24,2016,0.2701576010723878,0.216,0.259,0.34,0.185
Massachusetts,25,2016,0.2502727515724128,0.21600000000000005,0.244,0.333,0.20600000000000004
Michigan,26,2016,0.22102441442799614,0.13699999999999998,0.309,0.365,0.19
Minnesota,27,2016,0.30306055745868,0.185,0.306,0.364,0.146
Mississippi,28,2016,0.20360569120352004,0.126,0.267,0.333,0.274
Missouri,29,2016,0.23616027442250848,0.135,0.279,0.37999999999999995,0.20499999999999996
Montana,30,2016,0.2878583425446089,0.185,0.312,0.363,0.141
Nebraska,31,2016,0.316491355395656,0.16,0.32799999999999996,0.364,0.14700000000000002
Nevada,32,2016,0.27050356492527505,0.154,0.34,0.33,0.17600000000000002
New Hampshire,33,2016,0.2917973294218805,0.20800000000000002,0.289,0.33899999999999997,0.163
New Jersey,34,2016,0.22788393569979207,0.201,0.21600000000000003,0.374,0.209
New Mexico,35,2016,0.20489466208006024,0.179,0.28800000000000003,0.307,0.226
New York,36,2016,0.2124080000990347,0.189,0.22999999999999998,0.327,0.254
North Carolina,37,2016,0.2290323733073212,0.156,0.298,0.319,0.22799999999999998
North Dakota,38,2016,0.35139163764811987,0.16699999999999998,0.315,0.34,0.17800000000000002
Ohio,39,2016,0.23839742181785323,0.129,0.259,0.41200000000000003,0.2
Oklahoma,40,2016,0.25717932793955484,0.14400000000000002,0.303,0.36200000000000004,0.191
Oregon,41,2016,0.24801465120860047,0.187,0.364,0.299,0.15
Pennsylvania,42,2016,0.23068116805863753,0.14600000000000002,0.218,0.439,0.197
Rhode Island,44,2016,0.2046287809349221,0.14499999999999996,0.247,0.364,0.244
South Carolina,45,2016,0.2240093695100527,0.15,0.27899999999999997,0.331,0.24
South Dakota,46,2016,0.3441113334923417,0.153,0.312,0.34900000000000003,0.186
Tennessee,47,2016,0.21669439110144845,0.122,0.246,0.387,0.246
Texas,48,2016,0.2598410214784962,0.162,0.287,0.295,0.257
Utah,49,2016,0.31986586639023434,0.19399999999999998,0.384,0.297,0.125
Vermont,50,2016,0.2874900230057749,0.208,0.271,0.376,0.14500000000000002
Virginia,51,2016,0.2557223245810099,0.20199999999999999,0.26999999999999996,0.31900000000000006,0.20800000000000002
Washington,53,2016,0.25454506384860454,0.19399999999999998,0.353,0.297,0.156
West Virginia,54,2016,0.18116444265080464,0.10099999999999999,0.20699999999999996,0.43400000000000005,0.259
Wisconsin,55,2016,0.2656928153526516,0.159,0.285,0.39499999999999996,0.161
Wyoming,56,2016,0.30321929118277224,0.152,0.34,0.363,0.14500000000000002
Puerto Rico,72,2016,0.13102306989424933,0.146,0.16899999999999998,0.271,0.41400000000000003
Alabama,1,2017,0.18344769527831042,0.145,0.26,0.36,0.23399999999999999
Alaska,2,2017,0.3256409361216819,0.17200000000000001,0.353,0.32,0.154
Arizona,4,2017,0.2254240053727842,0.198,0.34,0.28600000000000003,0.17600000000000002
Arkansas,5,2017,0.2134872440140781,0.124,0.27399999999999997,0.38299999999999995,0.22
California,6,2017,0.221641639597407,0.2,0.30100000000000005,0.25,0.24900000000000003
Colorado,8,2017,0.30158136931562557,0.242,0.33,0.28800000000000003,0.14
Connecticut,9,2017,0.24943485842217367,0.21899999999999997,0.235,0.355,0.191
Delaware,10,2017,0.22631312442791204,0.19299999999999998,0.257,0.37799999999999995,0.17199999999999996
District of Columbia,11,2017,0.3326454141926558,0.317,0.197,0.29800000000000004,0.188
Florida,12,2017,0.1981036845985177,0.18899999999999997,0.284,0.335,0.192
Georgia,13,2017,0.23099185686294482,0.16799999999999998,0.27,0.342,0.221
Hawaii,15,2017,0.23202939330470165,0.226,0.263,0.363,0.149
Idaho,16,2017,0.2929827088040181,0.157,0.353,0.33899999999999997,0.151
Illinois,17,2017,0.24007581507988143,0.17800000000000002,0.28800000000000003,0.34700000000000003,0.188
Indiana,18,2017,0.2561150246113347,0.135,0.258,0.40700000000000003,0.2
Iowa,19,2017,0.28718718872117077,0.151,0.3,0.399,0.15
Kansas,20,2017,0.3057759161110161,0.18,0.31,0.36200000000000004,0.147
Kentucky,21,2017,0.21274623698304387,0.114,0.253,0.382,0.251
Louisiana,22,2017,0.2318119282050632,0.132,0.239,0.375,0.255
Maine,23,2017,0.23765798697804302,0.177,0.272,0.38199999999999995,0.17
Maryland,24,2017,0.275136688130806,0.223,0.255,0.331,0.191
